freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.5,0.1,no,8804/250,1664,1670,-6,-0.03592814371257485
1.5,0.1,no,9373/170,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,9373/340,1667,1670,-3,-0.017964071856287425
1.5,0.1,no,12400/250,1667,1670,-3,-0.017964071856287425
1.5,0.1,no,8804/250,1663,1670,-7,-0.041916167664670656
1.3,0.1,no,9373/170,1924,1920,4,0.020833333333333332
1.3,0.1,no,9373/340,1924,1920,4,0.020833333333333332
1.3,0.1,no,12400/250,1926,1920,6,0.03125
1.3,0.1,no,8804/250,1921,1920,1,0.005208333333333333
1.4,0.2,no,9373/170,1785,1790,-5,-0.027932960893854747
1.4,0.2,no,9373/340,1784,1790,-6,-0.0335195530726257
1.4,0.2,no,12400/250,1787,1790,-3,-0.01675977653631285
1.4,0.2,no,8804/250,1787,1790,-3,-0.01675977653631285
1.6,0.1,no,9373/170,1560,1560,0,0.0
1.6,0.1,no,9373/340,1560,1560,0,0.0
1.6,0.1,no,12400/250,1558,1560,-2,-0.01282051282051282
1.6,0.1,no,8804/250,1564,1560,4,0.02564102564102564
1.7,0.1,no,9373/170,1466,1470,-4,-0.027210884353741496
1.7,0.1,no,9373/340,1468,1470,-2,-0.013605442176870748
1.7,0.1,no,12400/250,1467,1470,-3,-0.02040816326530612
1.7,0.1,no,8804/250,1466,1470,-4,-0.027210884353741496
1.5,0.1,full,9373/170,1670,1670,0,0.0
1.5,0.1,full,9373/340,1670,1670,0,0.0
1.5,0.1,full,12400/250,1669,1670,-1,-0.005988023952095809
1.5,0.1,full,8804/250,1670,1670,0,0.0
1.7,0.3,full,9373/170,1483,1470,13,0.08843537414965986
1.7,0.3,full,9373/340,1483,1470,13,0.08843537414965986
1.7,0.3,full,12400/250,1480,1470,10,0.06802721088435375
1.7,0.3,full,8804/250,1477,1470,7,0.047619047619047616
1.6,0.2,full,9373/170,1570,1560,10,0.0641025641025641
1.6,0.2,full,9373/340,1563,1560,3,0.019230769230769232
1.6,0.2,full,12400/250,1571,1560,11,0.07051282051282051
1.6,0.2,full,8804/250,1565,1560,5,0.03205128205128205
1.5,0.2,full,9373/170,1671,1670,1,0.005988023952095809
1.5,0.2,full,9373/340,1669,1670,-1,-0.005988023952095809
1.5,0.2,full,12400/250,1669,1670,-1,-0.005988023952095809
1.5,0.2,full,8804/250,1661,1670,-9,-0.05389221556886228
1.6,0.2,no,9373/170,1562,1560,2,0.01282051282051282
1.6,0.2,no,9373/340,1563,1560,3,0.019230769230769232
1.6,0.2,no,12400/250,1561,1560,1,0.00641025641025641
1.6,0.2,no,8804/250,1563,1560,3,0.019230769230769232
1.5,0.1,no,9373/170,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,9373/340,1664,1670,-6,-0.03592814371257485
1.5,0.1,no,12400/250,1667,1670,-3,-0.017964071856287425
1.5,0.1,no,8804/250,1665,1670,-5,-0.029940119760479042
1.6,0.2,full,9373/170,1568,1560,8,0.05128205128205128
1.6,0.2,full,9373/340,1568,1560,8,0.05128205128205128
